市区,小区,户型,朝向,楼层,装修情况,电梯,面积(㎡),价格(万元),年份
海淀,海丰园公寓,3室2厅,西南,24,其他,无电梯,124,868,2001
海淀,电信小区,2室1厅,南北,6,其他,无电梯,57,442,1989
海淀,邮科社区,2室1厅,东,5,简装,无电梯,52,470,1970
海淀,中关村东大院,2室1厅,东西,6,精装,无电梯,62,740,1989
海淀,永泰东里,2室1厅,东西,6,毛坯,无电梯,73,500,2000
海淀,双清路14号院,2室2厅,东南,15,精装,有电梯,74,540,1998
海淀,阳春光华家园,3室2厅,东北,16,精装,无电梯,131,1500,2000
海淀,翠微路2号院,2室1厅,南,6,精装,无电梯,62,588,1986
海淀,永定路109号院,3室1厅,东西,5,简装,无电梯,57,530,1976
海淀,怡丽南园,2室1厅,南北,7,简装,无电梯,75,730,2002
海淀,铁建大院,3室1厅,南北,14,精装,无电梯,87,836,2000
海淀,锦秋知春,1室1厅,东,9,其他,无电梯,90,900,2002
海淀,菊园,3室1厅,西南,6,精装,无电梯,76,528,1995
海淀,青云南区,4室2厅,东南,6,简装,无电梯,192,1300,1996
海淀,玉海园二里,2室1厅,东南,5,简装,无电梯,77,550,2000
海淀,百旺茉莉园,3室2厅,西南,12,精装,有电梯,146,1100,2008
海淀,电信小区,2室1厅,东西,6,简装,无电梯,54,411,1982
海淀,翠微路16号院,4室1厅,南北,5,简装,无电梯,107,1020,1983
海淀,科育小区,2室1厅,南北,4,其他,无电梯,47,620,1976
海淀,车道沟南里,2室1厅,东西,21,简装,有电梯,58,473,1993
海淀,巨山馨苑,2室1厅,南北,6,精装,无电梯,49,290,2005
海淀,钢铁研究院,2室1厅,南北,6,精装,无电梯,63,626,1987
海淀,东馨园,2室1厅,南,6,其他,无电梯,52,360,1992
海淀,动物园宿舍,1室1厅,南,6,其他,无电梯,40,335,1988
海淀,民族大学南路19号院,2室1厅,南北,16,简装,有电梯,54,525,1991
海淀,苏州街77号院,2室1厅,南北,6,精装,无电梯,57,545,1987
海淀,富力桃园C区,1室1厅,西北,21,精装,有电梯,60,380,2010
海淀,万泉庄小区,2室1厅,南北,6,简装,无电梯,52,545,1990
海淀,普惠北里,2室1厅,东南,6,精装,无电梯,52,495,1990
海淀,永泰东里,1室1厅,东南,6,精装,无电梯,58,358,2000
海淀,铭科苑,2室1厅,南北,6,简装,无电梯,71,410,1997
海淀,满庭芳园,2室1厅,东北,24,简装,有电梯,91,850,1999
海淀,西四环中路7号院,2室1厅,南北,5,精装,无电梯,52,355,1978
海淀,志强南园,2室1厅,南,16,精装,有电梯,49,435,1987
海淀,邮科社区,1室1厅,南,5,简装,无电梯,38,350,1970
海淀,观景园,2室1厅,南北,6,精装,无电梯,91,678,2011
海淀,永泰东里,1室1厅,西,6,精装,无电梯,48,300,1997
海淀,迈豪时代,1室1厅,西,7,精装,有电梯,85,550,2001
海淀,兰园,2室1厅,南北,6,简装,无电梯,60,430,1995
海淀,汇新家园,1室1厅,东南,16,精装,有电梯,61,650,2004
海淀,双榆树东里,2室1厅,西南,16,简装,有电梯,60,585,1988
海淀,铁道科学研究院,1室1厅,南,16,简装,有电梯,47,458,1989
海淀,上园村,1室0厅,南,6,简装,无电梯,36,345,1985
海淀,翠微路2号院,3室1厅,南北,6,其他,无电梯,74,704,1983
海淀,上地东里,1室1厅,南北,6,其他,无电梯,44,630,1997
海淀,学院南路乙12号,2室1厅,南北,6,简装,无电梯,54,490,1986
海淀,马连洼1号院,2室1厅,南北,6,精装,无电梯,61,616,1992
海淀,皂君东里,2室1厅,南北,6,其他,无电梯,56,530,1982
海淀,志强北园,1室1厅,南,6,简装,无电梯,49,425,1994
海淀,玉海园五里,1室1厅,南北,6,精装,无电梯,51,383.8,1998
海淀,志新村,1室1厅,南北,18,简装,有电梯,50,458,1990
海淀,太阳园,2室1厅,西南,26,其他,有电梯,105,1250,2001
海淀,橡树湾,2室1厅,西南,16,其他,有电梯,88,820,2007
海淀,双清路16号院,1室1厅,东南,6,简装,无电梯,47,385,1992
海淀,新康园,1室1厅,南西,32,精装,有电梯,73,430,2003
海淀,望河园,1室1厅,东南,17,精装,有电梯,65,510,2000
海淀,北影小区,1室1厅,南,10,精装,有电梯,64,577,1996
海淀,毛纺厂南小区,2室1厅,南北,6,精装,无电梯,63,399,1988
海淀,韦伯豪家园,1室1厅,东,22,简装,有电梯,62,625,2001
海淀,清景园,2室1厅,南,21,简装,无电梯,101,680,2005
海淀,翠微路4号,3室1厅,东西,5,精装,无电梯,54,498,1986
海淀,万泉新新商务花园,1室1厅,东,10,精装,无电梯,58,760,2003
海淀,稻香园西里,2室1厅,东南,18,简装,无电梯,60,630,1990
海淀,城华园,1室1厅,南,27,其他,无电梯,62,435,2002
海淀,宝盛北里,2室2厅,南北,6,精装,无电梯,86,580,2004
海淀,永达逸家,1室0厅,西,15,精装,有电梯,58,390,2004
海淀,紫金庄园,2室1厅,东南,22,简装,有电梯,69,630,1998
海淀,北新家园,2室1厅,东西,6,其他,无电梯,65,413,1996
海淀,清华东路27号院,2室1厅,南北,6,简装,无电梯,74,660,1996
海淀,翠微南里,2室1厅,南北,6,简装,无电梯,58,535,1990
海淀,辉煌国际,2房间1卫,北,23,简装,有电梯,63,191,2007
海淀,复兴路46号院,2室1厅,南北,16,简装,无电梯,62,570,1992
海淀,上地西里,6室3厅,南北,6,其他,无电梯,226,1580,1998
海淀,碧森里,5室3厅,南北,9,精装,有电梯,235,1900,2004
海淀,上地西里,4室2厅,南北,6,其他,无电梯,201,1480,1997
海淀,远大园一区,4室2厅,南北,11,精装,有电梯,212,2080,2002
海淀,永金里小区,4室2厅,南北,6,简装,无电梯,151,930,1998
海淀,玉海园三里,6室2厅,南北,6,精装,无电梯,191,1150,2000
海淀,复兴路30号院,2室1厅,西南,16,简装,有电梯,65,560,1985
海淀,友谊社区,3室1厅,东南,6,简装,无电梯,81,773,1990
海淀,智学苑,5室3厅,东西,6,其他,无电梯,230,820,2005
海淀,宝盛里,3室2厅,南北,6,简装,无电梯,171,870,2001
海淀,地壳所,2室1厅,南,5,简装,无电梯,52,340,1994
海淀,财大家属院,1室1厅,南,16,其他,有电梯,44,420,1999
海淀,大泥湾,2室1厅,南北,6,简装,无电梯,58,586,1990
海淀,菊园,2室1厅,南北,6,精装,无电梯,58,440,1997
海淀,城华园,1室1厅,南,27,精装,有电梯,62,455,2002
海淀,建西苑北里,2室1厅,南北,6,简装,无电梯,84,540,2004
海淀,金夕园,2室1厅,东,17,简装,无电梯,85,770,2003
海淀,富力桃园B区,1室1厅,南北,11,精装,有电梯,69,480,2007
海淀,榆苑公寓,2室2厅,南西,10,简装,有电梯,123,1100,1998
海淀,红联北村,2室1厅,南北,6,简装,无电梯,57,480,1984
海淀,文成杰座,1室1厅,北,20,其他,有电梯,58,445,2006
海淀,中塔园,2室1厅,东西,6,精装,无电梯,56,510,1995
海淀,莱圳家园,1室1厅,西南,18,简装,有电梯,32,295,2007
海淀,望塔园,1室1厅,西南,17,精装,有电梯,65,515,2001
海淀,毛纺厂南小区,2室1厅,东西,6,简装,无电梯,70,439,1997
海淀,清上园,2室1厅,东北,19,精装,有电梯,74,480,2003
海淀,展春园,2室1厅,南北,6,精装,无电梯,57,480,1985
海淀,莲花小区,2室1厅,东南,28,精装,有电梯,112,750,1999
海淀,蓟门东里,2室1厅,南,15,精装,有电梯,63,540,1986
海淀,半壁街南路1号院,1室1厅,东南,24,精装,有电梯,42,450,1992
海淀,双榆树西里,2室1厅,南北,6,其他,无电梯,61,640,1983
海淀,大泥湾,3室1厅,南北,6,简装,无电梯,57,700,1982
海淀,北影小区,1室1厅,东,17,简装,有电梯,59,490,2000
海淀,圆明园东里,1室1厅,南,5,简装,无电梯,42,410,1993
海淀,清缘东里,2室1厅,南,13,精装,有电梯,87,610,2004
海淀,知春路2号院,2室1厅,东南,16,简装,有电梯,60,630,1991
海淀,西王庄小区,2室1厅,南,6,精装,无电梯,57,573,1987
海淀,艾瑟顿,1室0厅,北,20,精装,无电梯,60,470,2006
海淀,蓟门南里,2室1厅,南,6,简装,无电梯,54,460,1983
海淀,水木天成,2室1厅,西南,28,简装,有电梯,97,630,2005
海淀,王庄路27号院,1室1厅,南,6,精装,无电梯,42,360,1989
海淀,望塔园,1室1厅,西南,17,简装,有电梯,62,520,2001
海淀,荣上居,1室1厅,东,18,其他,有电梯,51,430,2006
海淀,知春路82号院,1室1厅,南,18,其他,无电梯,43,500,1993
海淀,橡树湾,4室2厅,南北,25,其他,有电梯,192,1750,2014
海淀,西山壹号院,4室2厅,西南,6,精装,有电梯,237,2599,2011
海淀,中间建筑一区,叠拼别墅,南北,3,精装,无电梯,266.61,1350,2007
海淀,二里庄小区,3室1厅,南北,6,简装,无电梯,76,650,1993
海淀,金隅翡丽爱公馆,2室1厅,西北,18,精装,无电梯,69,435,2014
海淀,铁东小区,1室1厅,东,11,精装,无电梯,36,330,1996
海淀,东升园,2室1厅,东西,6,精装,无电梯,72,830,1996
海淀,交大嘉园,2室1厅,西,19,简装,有电梯,81,817.5,2002
海淀,锦秋知春,1室1厅,北,26,精装,有电梯,73,720,2003
海淀,万泉庄1号院,2室1厅,南北,6,简装,无电梯,65,627,1983
海淀,五月华庭,2室1厅,南,12,精装,无电梯,62,590,2004
海淀,砂轮厂宿舍,2室1厅,南北,7,简装,无电梯,59,260,1998
海淀,北京林业大学校内,2室1厅,南北,5,简装,无电梯,56,518,1979
海淀,西颐北馆,2室1厅,南,6,精装,无电梯,61,550,1990
海淀,文慧园路2号院,2室1厅,东北,12,简装,有电梯,64,515,1994
海淀,青云北区,2室1厅,南北,6,简装,无电梯,63,580,1984
海淀,智学苑,2室2厅,东,22,简装,有电梯,80,460,2005
海淀,高梁桥斜街丙40号院,1室1厅,西,9,简装,无电梯,48,430,1992
海淀,宏嘉丽园,1室1厅,西南,25,精装,有电梯,76,740,2001
海淀,蜂鸟家园,1室0厅,南,14,精装,有电梯,48,730,2004
海淀,芙蓉里,1室1厅,南,6,简装,无电梯,38,340,1985
海淀,富力桃园C区,1室1厅,南北,21,精装,有电梯,66,430,2009
海淀,百旺家苑,2室1厅,南北,9,精装,有电梯,90,650,2003
海淀,钢铁研究院,1室1厅,东,16,简装,无电梯,57,520,1996
海淀,逸成东苑,3室1厅,东南,17,精装,有电梯,88,775,2003
海淀,财大家属院,1室1厅,南,16,其他,有电梯,44,420,1999
海淀,西山壹号院,4室2厅,西南,6,毛坯,有电梯,347,3750,2011
海淀,满庭芳园,3室2厅,东南,24,简装,有电梯,114,1200,1999
海淀,知春里,2室1厅,西南,18,其他,有电梯,74,680,1988
海淀,保利西山林语,2室1厅,东南,8,精装,有电梯,87,560,2009
海淀,宝盛里,3室2厅,南北,6,简装,无电梯,142,820,2001
海淀,太月园,2室1厅,东南,27,其他,有电梯,90,800,1999
海淀,清枫华景园,3室2厅,南北,16,其他,有电梯,133,1200,2005
海淀,花园东路14号院,2室1厅,南北,6,精装,无电梯,54,488,1987
海淀,蓟门北里,3室1厅,南北,6,简装,无电梯,56,510,1982
海淀,美丽园,2室2厅,南北,6,简装,有电梯,111,1250,2001
海淀,宝盛北里,2室1厅,南北,6,精装,无电梯,104,630,2004
海淀,中海紫金苑,3室1厅,南北,13,简装,有电梯,219,2350,2002
海淀,冠城大通百旺府,2室1厅,南,11,简装,无电梯,72,540,2009
海淀,晨月园,2室1厅,南西,17,精装,有电梯,81,860,2007
海淀,翠微路25号院,3室2厅,南北,6,精装,无电梯,112,980,1993
海淀,紫金长安,3室1厅,东南,12,精装,有电梯,116,1365,2006
海淀,宝盛里,2室1厅,南北,9,简装,有电梯,77,505,1998
海淀,大件厂宿舍,2室1厅,东北,6,精装,无电梯,75,575,1994
海淀,西山壹号院,3室2厅,南北,6,精装,无电梯,278,3299,2011
海淀,车道沟南里,2室1厅,东西,6,其他,无电梯,57,470,1984
海淀,冠城北园,3室2厅,东南,21,简装,有电梯,205,1810,2000
海淀,北辰香麓,4室2厅,南北,6,毛坯,有电梯,240,1180,2009
海淀,西晴公寓,3室2厅,东西,21,精装,无电梯,123,1168,1997
海淀,新外大街15号院,1室1厅,东西,6,简装,无电梯,38,347,1988
海淀,新外大街3号院,2室1厅,南,4,简装,无电梯,59,510,1960
海淀,科委宿舍,1室1厅,北,14,简装,有电梯,31,378,1984
海淀,德胜门西大街甲5号,2室1厅,东南,16,精装,有电梯,62,600,1986
海淀,竹园,3室1厅,东西,6,精装,无电梯,78,555,1995
海淀,知春路82号院,1室1厅,南,18,其他,无电梯,43,500,1993
海淀,西山壹号院,4室3厅,南北,6,毛坯,有电梯,290,3100,2011
海淀,信息学院家属楼,2室1厅,南北,5,简装,无电梯,57,355,1978
海淀,红旗村6号院,2室1厅,南,5,简装,无电梯,53,350,1986
海淀,三义庙北,1室1厅,东,6,简装,无电梯,43,300,1995
海淀,三虎桥,2室1厅,西南,6,简装,无电梯,45,403,1985
海淀,香山煤厂街27号院,2室1厅,南北,4,其他,无电梯,54,325,1981
海淀,长昆名居,3室1厅,东北,22,精装,有电梯,152,1450,2006
海淀,双榆树东里,2室1厅,西北,16,精装,有电梯,64,650,1988
海淀,上地西里,4室2厅,南北,6,其他,无电梯,180,1700,2000
海淀,碧水云天,4室2厅,西南,14,精装,有电梯,199,3100,2004
海淀,满庭芳园,2室1厅,东北,24,其他,有电梯,91,890,1999
海淀,汇新家园,2室2厅,东西,16,精装,有电梯,97,1250,2002
海淀,紫金庄园,3室1厅,东北,22,简装,有电梯,127,930,1998
海淀,志新西路一号院,6室2厅,南北,6,其他,无电梯,217,1300,1998
海淀,西山华府,4室2厅,东南,7,精装,有电梯,267,2750,2009
海淀,艾瑟顿,2室1厅,西北,20,精装,有电梯,102,770,2006
海淀,展春园,3室1厅,南北,6,精装,无电梯,77,645,1984
海淀,春荫园,2室2厅,南北,12,简装,无电梯,127,1350,2004
海淀,西山壹号院,4室2厅,西南,6,毛坯,有电梯,347,3750,2011
海淀,华清嘉园,3室1厅,东北,18,精装,无电梯,90,1100,2000
海淀,满庭芳园,3室2厅,东南,24,简装,有电梯,114,1200,1999
海淀,上地西里,5室2厅,南北,6,精装,无电梯,210,1420,2000
海淀,花园东路14号院,2室1厅,南北,6,精装,无电梯,54,488,1987
海淀,清枫华景园,3室2厅,南北,16,其他,有电梯,133,1200,2005
海淀,知春里,2室1厅,西南,18,其他,有电梯,74,680,1988
海淀,保利西山林语,2室1厅,东南,8,精装,有电梯,87,560,2009
海淀,宝盛里,3室2厅,南北,6,简装,无电梯,142,820,2001
海淀,太月园,2室1厅,东南,27,其他,有电梯,90,800,1999
海淀,学知轩,2室1厅,东,21,简装,有电梯,59,480,2001
海淀,西山公馆,1室1厅,东,6,精装,有电梯,69,650,2011
海淀,逸成东苑,2室1厅,东南,22,精装,有电梯,75,646,2003
海淀,塔院小区,2室1厅,东,15,精装,有电梯,59,498,1990
海淀,万寿路24号院,2室1厅,南,6,简装,无电梯,53,503,1985
海淀,友谊社区,2室1厅,南,14,简装,有电梯,61,558,1992
海淀,安宁里南区,2室1厅,南北,7,简装,无电梯,73,468,2001
海淀,国家计委宿舍,3室1厅,东西,16,精装,无电梯,77,740,1988
海淀,科技大学,2室1厅,南北,5,其他,无电梯,61,540,1980
海淀,北洼西里,2室1厅,南,6,精装,无电梯,50,460,1988
海淀,芙蓉里,3室1厅,西北,16,精装,有电梯,103,980,1988
海淀,清枫华景园,1室1厅,南西,15,精装,有电梯,64,580,2005
海淀,建清园,1室1厅,东西,6,简装,无电梯,70,530,1998
海淀,复兴路77号院,2室1厅,南,5,简装,无电梯,53,360,1974
海淀,豪景佳苑,3室1厅,东南,18,简装,有电梯,127,1280,1998
海淀,索家坟20号院,2室1厅,东西,6,精装,无电梯,64,515,1985
海淀,青年公寓,1室1厅,南,17,精装,有电梯,41,420,1992
海淀,锋尚国际,2室1厅,东,18,精装,无电梯,121,1600,2002
海淀,育新花园,2室1厅,东南,20,简装,有电梯,76,580,1999
海淀,高巢,1室1厅,北,15,精装,有电梯,44,310,2005
海淀,西山华府,2室1厅,南北,6,精装,无电梯,93,998,2008
海淀,蓟门东里,2室1厅,东南,16,简装,无电梯,62,550,1987
海淀,吴家村路10号院,1室1厅,西北,24,精装,有电梯,59,400,1997
海淀,时代之光名苑,1室1厅,东北,16,简装,有电梯,74,550,2001
海淀,科源小区,2室1厅,南北,6,简装,无电梯,60,770,1981
海淀,郦城三区,1室0厅,东南,12,精装,无电梯,57,505,2004
海淀,纽约客,1室1厅,东,15,精装,有电梯,53,507,2006
海淀,华清嘉园,2室1厅,西,18,精装,有电梯,74,830,2000
海淀,邮局宿舍,2室1厅,东西,6,精装,无电梯,57,485,1997
海淀,成府路20号院,2室1厅,南,9,精装,有电梯,73,730,1996
海淀,常秀家园,2室1厅,南北,6,简装,无电梯,61,350,1994
海淀,万寿路26号院,3室1厅,东西,18,简装,有电梯,75,743,1990
海淀,郦城果岭,3室2厅,东西,11,简装,有电梯,136,1080,2010
海淀,厂洼西街6号院,2室1厅,西南,16,其他,有电梯,83,872,2005
海淀,塔院小区,1室1厅,南,18,精装,有电梯,42,375,1988
海淀,韦伯豪家园,2室2厅,南北,15,精装,有电梯,114,1200,2001
海淀,明光北里,2室1厅,东南,16,简装,有电梯,61,520,1988
海淀,明光北里,2室1厅,南,18,其他,有电梯,55,456,1992
海淀,上地西里,2室1厅,南北,6,其他,无电梯,114,1100,1998
海淀,梅园甲,3室1厅,南北,4,精装,无电梯,132,990,2001
海淀,晨月园,1室1厅,南,17,其他,有电梯,57,600,2007
海淀,邮局宿舍,2室1厅,南北,6,简装,无电梯,57,516,1997
海淀,韦伯豪家园,2室1厅,西,22,简装,无电梯,74,680,2001
海淀,紫竹院路62号院,2室2厅,东西,26,精装,无电梯,104,700,2001
海淀,航南小区,2室1厅,东南,18,其他,无电梯,92,800,2000
海淀,索家坟,2室1厅,东西,6,精装,无电梯,50,430,1980
海淀,时雨园,2室2厅,西南,19,精装,无电梯,66,880,2005
海淀,乐府江南,2室1厅,西,9,简装,有电梯,91,840,2005
海淀,铭科苑,2室1厅,西,18,其他,有电梯,86,498,2002
海淀,交大东路15号院,3室1厅,东南,16,精装,有电梯,115,985,1995
海淀,高巢,2室1厅,南,15,其他,有电梯,54,435,2005
海淀,富力桃园C区,2室1厅,南北,18,精装,有电梯,89,540,2008
海淀,阳光南里,2室1厅,南北,6,简装,无电梯,71,460,1997
海淀,怡清园,3室1厅,东西,6,精装,无电梯,109,630,2003
海淀,上地东里,1室1厅,南北,6,其他,无电梯,48,720,1996
海淀,普惠南里,3室1厅,东北,16,精装,有电梯,67,620,1987
海淀,卫生局党校,2室1厅,南北,6,简装,无电梯,55,328,1992
海淀,莱圳家园,2室1厅,南,16,精装,有电梯,66,490,2012
海淀,科育小区,2室1厅,东西,4,精装,无电梯,48,601,1970
海淀,紫竹花园,4室2厅,西南,24,精装,有电梯,221,1700,2000
海淀,友谊社区,2室1厅,南,14,简装,有电梯,61,558,1992
海淀,明光村小区,1室1厅,南北,5,简装,无电梯,46,378,1995
海淀,德胜门西大街甲5号,1室1厅,南,16,简装,有电梯,44,400,1985
海淀,交科院,1室1厅,南,16,精装,有电梯,45,450,1989
海淀,王庄路27号院,1室1厅,南,6,简装,无电梯,42,375,1989
海淀,三里河路5号院,3室1厅,西北,4,精装,无电梯,81,772,1955
海淀,城建小区,2室1厅,南北,6,其他,无电梯,63,610,1986
海淀,上地东里,2室1厅,南北,6,精装,无电梯,59,790,1996
海淀,铁道科学研究院,2室1厅,南北,6,简装,无电梯,64,641,1980
海淀,志强北园,2室1厅,南,6,精装,无电梯,52,435,1980
海淀,富力桃园A区,2室1厅,南北,9,其他,有电梯,90,600,2008
海淀,倒座庙9号院,3室1厅,东西,6,其他,无电梯,98,989,1990
海淀,黄平路8号院,3室1厅,南北,6,精装,无电梯,68,377,1985
海淀,阳春光华家园,3室2厅,东北,16,精装,有电梯,131,1500,1999
海淀,静淑东里,2室2厅,南北,4,简装,无电梯,77,600,1998
海淀,双泉堡125号院,3室1厅,南北,5,其他,无电梯,133,1100,2000
海淀,都市网景,2室1厅,西,24,简装,有电梯,123,990,2000
海淀,增光佳苑,3室2厅,西,20,精装,无电梯,155,1300,2005
海淀,永定路西里,2室1厅,南北,12,其他,有电梯,73,745,1998
海淀,清景园,2室1厅,东西,14,其他,无电梯,99,625,2005
海淀,汇新家园,2室1厅,西北,16,其他,无电梯,100,1200,2004
海淀,阜成路甲52号院,2室1厅,东南,18,其他,无电梯,81,587.5,1999
海淀,建材城西一里,3室1厅,南北,6,其他,无电梯,69,434,1981
海淀,领秀新硅谷1号院,3室2厅,南北,9,精装,无电梯,140,1300,2010
海淀,清景园,2室1厅,南,13,精装,有电梯,98,690,2004
海淀,清景园,2室1厅,东西,11,简装,无电梯,99,550,2006
海淀,永定路17号院,1室1厅,南,6,简装,无电梯,42,318,1994
海淀,厂洼西街10号院,3室2厅,南北,6,简装,无电梯,131,1146,1998
海淀,东馨园,3室1厅,南北,6,简装,无电梯,80,560,1994
海淀,文慧园北路4号院,2室1厅,南北,14,精装,无电梯,86,950,1999
海淀,学院路14号院,2室1厅,南北,6,其他,无电梯,65,560,1987
海淀,双榆树北路6号院,2室1厅,南北,6,其他,无电梯,55,558,1989
海淀,东升园,3室1厅,西南,12,简装,有电梯,126,1380,1998
海淀,知春里,3室1厅,西南,18,简装,有电梯,85,838,1988
海淀,静源居,3室1厅,南,23,简装,有电梯,151,1290,2002
海淀,公安局宿舍,2室2厅,南北,6,其他,无电梯,108,680,2002
海淀,东南小区,3室1厅,南北,5,其他,无电梯,82,1050,1980
海淀,砂轮厂宿舍,2室1厅,南,7,其他,无电梯,53,350,1998
海淀,保利西山林语,1室1厅,西北,8,精装,无电梯,48,329,2010
海淀,玫瑰御园,3室1厅,南北,11,精装,有电梯,157,1750,2005
海淀,翠叠园,2室2厅,南北,13,精装,有电梯,81,1200,2004
海淀,今日家园,3室2厅,西北,24,其他,无电梯,141,790,2001
海淀,月季园,3室1厅,南北,21,简装,有电梯,93,795,1997
海淀,北坞嘉园北里,2室2厅,南北,6,其他,有电梯,83,690,2010
海淀,八里庄北里,2室1厅,西南,6,精装,无电梯,77,598,1998
海淀,莲花小区,2室1厅,东南,28,简装,有电梯,99,718,1999
海淀,东南小区,2室1厅,东北,16,其他,无电梯,61,725,1989
海淀,富润家园,4室2厅,南西,18,其他,无电梯,165,1280,2000
海淀,上地西里,6室3厅,南北,6,其他,无电梯,258,1900,1998
海淀,索家坟,2室1厅,南北,6,精装,无电梯,61,510,1995
海淀,苏州街52号院,3室1厅,南西,20,精装,有电梯,101,980,1998
海淀,恩济庄46号院,4室2厅,西南,14,精装,有电梯,158,1188,1995
海淀,玲珑花园,5室3厅,南北,3,其他,无电梯,303,2500,1998
海淀,丹青府,4室1厅,东南,12,精装,有电梯,170,1280,2007
海淀,百旺茉莉园,2室2厅,南北,11,精装,有电梯,114,960,2008
海淀,蓟门北里,2室1厅,南北,7,精装,无电梯,57,490,1988
海淀,锦秋知春,3室2厅,南北,26,简装,无电梯,165,1750,2002
海淀,教委计生委大院,4室2厅,南北,7,精装,无电梯,161,1350,1995
海淀,金夕园,3室1厅,南,17,精装,有电梯,130,1290,2003
海淀,气象西苑,2室1厅,东,20,其他,有电梯,89,700,2000
海淀,恩济花园,2室1厅,南北,6,精装,无电梯,118,830,1990
海淀,月季园,2室1厅,南北,6,精装,无电梯,95,850,1998
海淀,紫御府,3室2厅,东西,12,精装,有电梯,273,2750,2008
海淀,富力桃园C区,2室1厅,南,18,精装,有电梯,89,560,2008
海淀,东王庄,2室1厅,南北,6,简装,无电梯,67,590,1996
海淀,今典花园,1室1厅,东南,26,精装,无电梯,59,540,1999
海淀,双榆树东里,3室1厅,南北,12,其他,有电梯,81,720,1990
海淀,百旺茉莉园,4室2厅,南北,4,精装,有电梯,231,2200,2008
海淀,翠微路2号院,3室1厅,南北,6,简装,无电梯,86,815,1996
海淀,七彩华园,3室2厅,南北,6,精装,无电梯,126,1050,2004
海淀,海淀路小区,2室1厅,南北,6,简装,无电梯,57,490,1990
海淀,小南庄怡秀园,4室1厅,东南,18,精装,有电梯,106,1250,1996
海淀,富力桃园C区,2室1厅,南,18,精装,有电梯,86,590,2009
海淀,铁道部宿舍,3室1厅,西南,14,其他,有电梯,97,940,1998
海淀,紫金庄园,4室1厅,东西,22,精装,有电梯,254,1450,1998
海淀,上地西里,3室2厅,南北,6,其他,无电梯,146,1280,1997
海淀,东馨园,3室1厅,南北,6,简装,无电梯,82,535,1994
海淀,毛纺厂南小区,2室1厅,南北,6,简装,无电梯,59,388,1992
海淀,望福园,2室2厅,南北,6,其他,无电梯,94,860,2000
海淀,翠微路2号院,2室1厅,南,5,简装,无电梯,50,460,1976
海淀,四道口5号院,2室1厅,南北,7,其他,无电梯,96,920,1999
海淀,光大花园,3室1厅,东南,17,精装,有电梯,111,1580,2000
海淀,远洋风景,4室2厅,南北,14,精装,无电梯,193,2050,2002
