Rank,Name,Pay,Salary/Winnings,Endorsements,Sport,Year
#34,Brandin Cooks,$38 M,$37.5 M,$500 K,Football,2019
#35,Kei Nishikori,$37.3 M,$4.3 M,$33 M,Tennis,2019
#36,Nick Foles,$35.8 M,$33.8 M,$2 M,Football,2019
#37,Rafael Nadal,$35 M,$9 M,$26 M,Tennis,2019
#38,Manny Machado,$34.8 M,$34.3 M,$500 K,Baseball,2019
#39,Anthony Davis,$34.6 M,$25.6 M,$9 M,Basketball,2019
#40,Gordon Hayward,$34.3 M,$31.3 M,$3 M,Basketball,2019
#40,Klay Thompson,$34.3 M,$19.3 M,$15 M,Basketball,2019
#42,Carmelo Anthony,$34 M,$28 M,$6 M,Basketball,2019
#43,Kyle Lowry,$33.8 M,$32.3 M,$1.5 M,Basketball,2019
#44,Paul Pogba,$33 M,$29 M,$4 M,Soccer,2019
#45,DeMar DeRozan,$32.8 M,$27.8 M,$5 M,Basketball,2019
#46,Andres Iniesta,$32.5 M,$30 M,$2.5 M,Soccer,2019
#47,Justin Rose,$32.4 M,$18.4 M,$14 M,Golf,2019
#48,Joel Embiid,$32.1 M,$25.6 M,$6.5 M,Basketball,2019
#49,Al Horford,$32 M,$29 M,$3 M,Basketball,2019
#50,David Price,$31.7 M,$30.7 M,$950 K,Baseball,2019
#51,Mike Conley Jr.,$31.5 M,$30.5 M,$1 M,Basketball,2019
#52,Jordan Spieth,$31.1 M,$2.1 M,$29 M,Golf,2019
#53,Alexis Sánchez,$30.8 M,$28.3 M,$2.5 M,Soccer,2019
#54,Clayton Kershaw,$30.7 M,$30 M,$700 K,Baseball,2019
#55,Kylian Mbappe,$30.6 M,$26.6 M,$4 M,Soccer,2019
#56,Deontay Wilder,$30.5 M,$30 M,$500 K,Boxing,2019
#57,Trey Flowers,$30.2 M,$30 M,$250 K,Football,2019
#57,Mesut Ozil,$30.2 M,$23.7 M,$6.5 M,Soccer,2019
#59,Paul Millsap,$30.1 M,$29.6 M,$500 K,Basketball,2019
#60,Matt Ryan,$29.8 M,$24.8 M,$5 M,Football,2019
#61,Justin Verlander,$29.5 M,$28.5 M,$1 M,Baseball,2019
#62,Yoenis Cespedes,$29.4 M,$29 M,$400 K,Baseball,2019
#63,Miguel Cabrera,$29.2 M,$28.7 M,$500 K,Baseball,2019
#63,Serena Williams,$29.2 M,$4.2 M,$25 M,Tennis,2019
#65,Geno Atkins,$29.1 M,$29 M,$75 K,Football,2019
#66,Oscar,$29 M,$27 M,$2 M,Soccer,2019
#66,Earl Thomas,$29 M,$28.5 M,$500 K,Football,2019
#68,Jake Arrieta,$28.8 M,$28.3 M,$500 K,Baseball,2019
#68,C.J. McCollum,$28.8 M,$25.8 M,$3 M,Basketball,2019
#70,Kawhi Leonard,$28.7 M,$23.2 M,$5.5 M,Basketball,2019
#71,Kevin Love,$28.4 M,$24.4 M,$4 M,Basketball,2019
#72,Justin Houston,$28.2 M,$28 M,$200 K,Football,2019
#73,Albert Pujols,$28 M,$27.3 M,$700 K,Baseball,2019
#74,Dwight Howard,$27.8 M,$24.3 M,$3.5 M,Basketball,2019
#75,Antoine Griezmann,$27.7 M,$23.2 M,$4.5 M,Soccer,2019
#76,Jrue Holiday,$27.6 M,$27.1 M,$500 K,Basketball,2019
#77,Giancarlo Stanton,$27.4 M,$25.4 M,$2 M,Baseball,2019
#78,Steven Adams,$27.2 M,$24.2 M,$3 M,Basketball,2019
#79,Gareth Bale,$27.1 M,$20.6 M,$6.5 M,Soccer,2019
#79,Bradley Beal,$27.1 M,$25.6 M,$1.5 M,Basketball,2019
#81,Tom Brady,$27 M,$15 M,$12 M,Football,2019
#82,Andrew Luck,$26.9 M,$24.1 M,$2.8 M,Football,2019
#82,C.J. Mosley,$26.9 M,$26.7 M,$150 K,Football,2019
#84,Felix Hernandez,$26.6 M,$26.3 M,$300 K,Baseball,2019
#85,Odell Beckham Jr.,$26.5 M,$21.5 M,$5 M,Football,2019
#85,Otto Porter Jr.,$26.5 M,$26 M,$500 K,Basketball,2019
#87,Andre Drummond,$26.4 M,$25.4 M,$1 M,Basketball,2019
#88,Harrison Barnes,$26.3 M,$24.8 M,$1.5 M,Basketball,2019
#89,Nikola Jokic,$26.2 M,$25.5 M,$750 K,Basketball,2019
#89,Hassan Whiteside,$26.2 M,$25.4 M,$750 K,Basketball,2019
#91,Andrew Wiggins,$26.1 M,$25.5 M,$600 K,Basketball,2019
#92,Manny Pacquiao,$26 M,$24 M,$2 M,Boxing,2019
#93,Saquon Barkley,$25.8 M,$21.3 M,$4.5 M,Football,2019
#94,J.D. Martinez,$25.6 M,$24.9 M,$700 K,Baseball,2019
#95,Gennady Golovkin,$25.5 M,$23 M,$2.5 M,Boxing,2019
#96,Joey Votto,$25.4 M,$25.1 M,$300 K,Baseball,2019
#97,Jon Lester,$25.3 M,$25 M,$300 K,Baseball,2019
#98,Marc Gasol,$25.1 M,$24.1 M,$1 M,Basketball,2019
#98,Mohamed Salah,$25.1 M,$16.1 M,$9 M,Soccer,2019
#100,Virat Kohli,$25 M,$4 M,$21 M,Cricket,2019
#1,Floyd Mayweather,$285 M,$275 M,$10 M,Boxing,2018
#2,Lionel Messi,$111 M,$84 M,$27 M,Soccer,2018
#3,Cristiano Ronaldo,$108 M,$61 M,$47 M,Soccer,2018
#4,Conor McGregor,$99 M,$85 M,$14 M,Mixed Martial Arts,2018
#5,Neymar,$90 M,$73 M,$17 M,Soccer,2018
#6,LeBron James,$85.5 M,$33.5 M,$52 M,Basketball,2018
#7,Roger Federer,$77.2 M,$12.2 M,$65 M,Tennis,2018
#8,Stephen Curry,$76.9 M,$34.9 M,$42 M,Basketball,2018
#9,Matt Ryan,$67.3 M,$62.3 M,$5 M,Football,2018
#10,Matthew Stafford,$59.5 M,$57.5 M,$2 M,Football,2018
#11,Kevin Durant,$57.3 M,$25.3 M,$32 M,Basketball,2018
#12,Lewis Hamilton,$51 M,$42 M,$9 M,Auto Racing,2018
#13,Russell Westbrook,$47.6 M,$28.6 M,$19 M,Basketball,2018
#14,James Harden,$46.4 M,$28.4 M,$18 M,Basketball,2018
#15,Canelo Alvarez,$44.5 M,$42 M,$2.5 M,Boxing,2018
#16,Tiger Woods,$43.3 M,$1.3 M,$42 M,Golf,2018
#17,Drew Brees,$42.9 M,$29.9 M,$13 M,Football,2018
#18,Sebastian Vettel,$42.3 M,$42 M,$300 K,Auto Racing,2018
#19,Derek Carr,$42.1 M,$40.1 M,$2 M,Football,2018
#20,Rafael Nadal,$41.4 M,$14.4 M,$27 M,Tennis,2018
#20,Alex Smith,$41.4 M,$40.4 M,$1 M,Football,2018
#22,Phil Mickelson,$41.3 M,$4.3 M,$37 M,Golf,2018
#23,Jordan Spieth,$41.2 M,$11.2 M,$30 M,Golf,2018
#24,Damian Lillard,$39.2 M,$26.2 M,$13 M,Basketball,2018
#25,Anthony Joshua,$39 M,$32 M,$7 M,Boxing,2018
#26,Rory McIlroy,$37.7 M,$3.7 M,$34 M,Golf,2018
#27,Trumaine Johnson,$37 M,$36.8 M,$250 K,Football,2018
#28,Jimmy Garoppolo,$36.2 M,$36 M,$200 K,Football,2018
#29,Kyrie Irving,$36.1 M,$19.1 M,$17 M,Basketball,2018
#30,Giannis Antetokounmpo,$35.5 M,$22.5 M,$13 M,Basketball,2018
#30,Blake Griffin,$35.5 M,$29.5 M,$6 M,Basketball,2018
#32,Ryan Tannehill,$35.2 M,$34.7 M,$500 K,Football,2018
#33,Von Miller,$35.1 M,$33.1 M,$2 M,Football,2018
#34,Anthony Davis,$34.9 M,$23.9 M,$11 M,Basketball,2018
#35,Gareth Bale,$34.6 M,$28.6 M,$6 M,Soccer,2018
#35,Kei Nishikori,$34.6 M,$1.6 M,$33 M,Tennis,2018
#37,Clayton Kershaw,$34.5 M,$33.8 M,$750 K,Baseball,2018
#38,Carmelo Anthony,$33.2 M,$26.2 M,$7 M,Basketball,2018
#39,Fernando Alonso,$33 M,$32 M,$1 M,Auto Racing,2018
#39,Demar DeRozan,$33 M,$27.5 M,$5.5 M,Basketball,2018
#41,Chris Paul,$31.9 M,$24.9 M,$7 M,Basketball,2018
#42,Paul Millsap,$31.8 M,$31.3 M,$500 K,Basketball,2018
#42,Dwyane Wade,$31.8 M,$17.8 M,$14 M,Basketball,2018
#44,Klay Thompson,$31.1 M,$18.1 M,$13 M,Basketball,2018
#45,Usain Bolt,$31 M,$1 M,$30 M,Track,2018
#46,Gordon Hayward,$30.8 M,$29.8 M,$1 M,Basketball,2018
#47,David Price,$30.7 M,$30 M,$650 K,Baseball,2018
#48,Kyle Lowry,$30.5 M,$29 M,$1.5 M,Basketball,2018
#49,Albert Pujols,$30.3 M,$29.3 M,$1 M,Baseball,2018
#50,Mike Conley,$30 M,$28.5 M,$1.5 M,Basketball,2018
#51,Al Horford,$29.8 M,$27.8 M,$2 M,Basketball,2018
#52,Paul Pogba,$29.5 M,$25 M,$4.5 M,Soccer,2018
#53,Justin Verlander,$29.4 M,$28.4 M,$1 M,Baseball,2018
#54,Miguel Cabrera,$29.2 M,$28.7 M,$500 K,Baseball,2018
#55,Kirk Cousins,$28.4 M,$26.9 M,$1.5 M,Football,2018
#56,Oscar,$27.4 M,$25.9 M,$1.5 M,Soccer,2018
#57,Paul George,$27.1 M,$19.6 M,$7.5 M,Basketball,2018
#58,Dwight Howard,$27 M,$23.5 M,$3.5 M,Basketball,2018
#58,Wayne Rooney,$27 M,$22 M,$5 M,Soccer,2018
#60,Jrue Holiday,$26.9 M,$26.7 M,$250 K,Basketball,2018
#60,Kevin Love,$26.9 M,$22.9 M,$4 M,Basketball,2018
#60,Luis Suarez,$26.9 M,$19.9 M,$7 M,Soccer,2018
#63,Felix Hernandez,$26.7 M,$26.3 M,$400 K,Baseball,2018
#64,Mike Trout,$26.4 M,$23.9 M,$2.5 M,Baseball,2018
#65,Chris Bosh,$26.3 M,$25.3 M,$1 M,Basketball,2018
#66,Justin Thomas,$26 M,$21 M,$5 M,Golf,2018
#67,C.J. McCollum,$25.8 M,$23.8 M,$2 M,Basketball,2018
#68,Eli Manning,$25.5 M,$18.5 M,$7 M,Football,2018
#69,DeAndre Hopkins,$25.3 M,$24.1 M,$1.2 M,Football,2018
#69,Otto Porter Jr.,$25.3 M,$24.8 M,$500 K,Basketball,2018
#71,Yoenis Cespedes,$25.2 M,$24.7 M,$500 K,Baseball,2018
#72,Gennady Golovkin,$25 M,$23 M,$2 M,Boxing,2018
#72,Buster Posey,$25 M,$21.5 M,$3.5 M,Baseball,2018
#74,Bradley Beal,$24.9 M,$23.9 M,$1 M,Basketball,2018
#74,Andre Drummond,$24.9 M,$23.9 M,$1 M,Basketball,2018
#76,Harrison Barnes,$24.6 M,$23.1 M,$1.5 M,Basketball,2018
#77,Davante Adams,$24.5 M,$24 M,$500 K,Football,2018
#77,Hassan Whiteside,$24.5 M,$23.8 M,$750 K,Basketball,2018
#79,Stephon Tuitt,$24.4 M,$24.2 M,$200 K,Football,2018
#80,Sam Bradford,$24.3 M,$24.1 M,$250 K,Football,2018
#81,Zack Greinke,$24.2 M,$24.1 M,$50 K,Baseball,2018
#82,Chandler Parsons,$24.1 M,$23.1 M,$1 M,Basketball,2018
#83,Virat Kohli,$24 M,$4 M,$20 M,Cricket,2018
#84,Marc Gasol,$23.7 M,$22.7 M,$1 M,Basketball,2018
#84,DeAndre Jordan,$23.7 M,$22.7 M,$1 M,Basketball,2018
#86,Steven Adams,$23.5 M,$22.5 M,$1 M,Basketball,2018
#86,Sergio Agüero,$23.5 M,$17 M,$6 M,Soccer,2018
#86,Novak Djokovic,$23.5 M,$1.5 M,$22 M,Tennis,2018
#86,Joe Mauer,$23.5 M,$23 M,$500 K,Baseball,2018
#86,J.J. Redick,$23.5 M,$23 M,$500 K,Basketball,2018
#91,Joey Votto,$23.4 M,$23.1 M,$300 K,Baseball,2018
#92,Jarvis Landry,$23.2 M,$22.5 M,$750 K,Football,2018
#92,Nate Solder,$23.2 M,$23.1 M,$100 K,Football,2018
#92,John Wall,$23.2 M,$18.2 M,$5 M,Basketball,2018
#95,LaMarcus Aldridge,$23.1 M,$21.6 M,$1.5 M,Basketball,2018
#95,Robinson Cano,$23.1 M,$22.1 M,$1 M,Baseball,2018
#95,Brook Lopez,$23.1 M,$22.6 M,$500 K,Basketball,2018
#95,Masahiro Tanaka,$23.1 M,$22.1 M,$1 M,Baseball,2018
#99,Melvin Ingram,$23 M,$22.8 M,$150 K,Football,2018
#100,Nicolas Batum,$22.9 M,$22.4 M,$500 K,Basketball,2018
#1,Cristiano Ronaldo,$93 M,$58 M,$35 M,Soccer,2017
#2,LeBron James,$86.2 M,$31.2 M,$55 M,Basketball,2017
#3,Lionel Messi,$80 M,$53 M,$27 M,Soccer,2017
#4,Roger Federer,$64 M,$6 M,$58 M,Tennis,2017
#5,Kevin Durant,$60.6 M,$26.6 M,$34 M,Basketball,2017
#6,Andrew Luck,$50 M,$47 M,$3 M,Football,2017
#6,Rory McIlroy,$50 M,$16 M,$34 M,Golf,2017
#8,Stephen Curry,$47.3 M,$12.3 M,$35 M,Basketball,2017
#9,James Harden,$46.6 M,$26.6 M,$20 M,Basketball,2017
#10,Lewis Hamilton,$46 M,$38 M,$8 M,Auto Racing,2017
#11,Drew Brees,$45.3 M,$31.3 M,$14 M,Football,2017
#12,Phil Mickelson,$43.5 M,$3.5 M,$40 M,Golf,2017
#13,Russell Westbrook,$38.6 M,$26.6 M,$12 M,Basketball,2017
#14,Sebastian Vettel,$38.5 M,$38 M,$500 K,Auto Racing,2017
#15,Damian Lillard,$38.4 M,$24.4 M,$14 M,Basketball,2017
#16,Novak Djokovic,$37.6 M,$9.6 M,$28 M,Tennis,2017
#17,Tiger Woods,$37.1 M,$107 K,$37 M,Golf,2017
#18,Neymar,$37 M,$15 M,$22 M,Soccer,2017
#19,Dwyane Wade,$36.2 M,$23.2 M,$13 M,Basketball,2017
#20,Fernando Alonso,$36 M,$34 M,$2 M,Auto Racing,2017
#21,Jordan Spieth,$34.5 M,$5.5 M,$29 M,Golf,2017
#22,Derrick Rose,$34.3 M,$21.3 M,$13 M,Basketball,2017
#23,Usain Bolt,$34.2 M,$2.2 M,$32 M,Track,2017
#24,Gareth Bale,$34 M,$23 M,$11 M,Soccer,2017
#24,Conor McGregor,$34 M,$27 M,$7 M,Mixed Martial Arts,2017
#26,Kei Nishikori,$33.9 M,$3.9 M,$30 M,Tennis,2017
#27,Fletcher Cox,$33.4 M,$33.3 M,$75 K,Football,2017
#28,Clayton Kershaw,$33.3 M,$32.5 M,$800 K,Baseball,2017
#29,Carmelo Anthony,$32.6 M,$24.6 M,$8 M,Basketball,2017
#30,Zlatan Ibrahimovic,$32 M,$27 M,$5 M,Soccer,2017
#31,Antonio Brown,$31.9 M,$29.4 M,$2.5 M,Football,2017
#32,Demar DeRozan,$31.6 M,$26.6 M,$5 M,Basketball,2017
#33,Rafael Nadal,$31.5 M,$5.5 M,$26 M,Tennis,2017
#34,Eric Berry,$31.1 M,$30.8 M,$300 K,Football,2017
#35,Chris Paul,$30.9 M,$22.9 M,$8 M,Basketball,2017
#36,David Price,$30.6 M,$30 M,$550 K,Baseball,2017
#37,Miguel Cabrera,$30.3 M,$28.3 M,$2 M,Baseball,2017
#38,Kyrie Irving,$29.9 M,$17.9 M,$12 M,Basketball,2017
#39,Stephon Gilmore,$29.3 M,$29.1 M,$200 K,Football,2017
#40,Andy Murray,$28.8 M,$14.8 M,$14 M,Tennis,2017
#40,Justin Verlander,$28.8 M,$28.2 M,$600 K,Baseball,2017
#42,Mike Conley,$28.6 M,$26.6 M,$2 M,Basketball,2017
#43,Canelo Alvarez,$28.5 M,$27 M,$1.5 M,Boxing,2017
#44,Anthony Davis,$28.1 M,$22.1 M,$6 M,Basketball,2017
#44,Blake Griffin,$28.1 M,$20.1 M,$8 M,Basketball,2017
#44,Al Horford,$28.1 M,$26.6 M,$1.5 M,Basketball,2017
#44,Von Miller,$28.1 M,$25.1 M,$3 M,Football,2017
#48,Dustin Johnson,$27.6 M,$16.6 M,$11 M,Golf,2017
#49,Albert Pujols,$27.3 M,$25.3 M,$2 M,Baseball,2017
#50,Dwight Howard,$27.2 M,$23.2 M,$4 M,Basketball,2017
#51,Ryan Howard,$27 M,$26.7 M,$300 K,Baseball,2017
#51,Serena Williams,$27 M,$8 M,$19 M,Tennis,2017
#53,Robinson Cano,$26.6 M,$24.1 M,$2.5 M,Baseball,2017
#54,Kevin Love,$26.4 M,$21.4 M,$5 M,Basketball,2017
#55,Chris Bosh,$26.3 M,$23.8 M,$2.5 M,Basketball,2017
#56,Cam Newton,$26 M,$13 M,$13 M,Football,2017
#56,Dirk Nowitzki,$26 M,$25 M,$1 M,Basketball,2017
#58,Paul George,$25.8 M,$18.3 M,$7.5 M,Basketball,2017
#58,Felix Hernandez,$25.8 M,$25.3 M,$500 K,Baseball,2017
#60,Jason Pierre-Paul,$25.7 M,$25.5 M,$200 K,Football,2017
#61,CC Sabathia,$25.6 M,$25 M,$600 K,Baseball,2017
#62,David DeCastro,$25.1 M,$25 M,$75 K,Football,2017
#63,Eli Manning,$25 M,$18 M,$7 M,Football,2017
#64,Buster Posey,$24.6 M,$20.6 M,$4 M,Baseball,2017
#65,Prince Fielder,$24.2 M,$24 M,$200 K,Baseball,2017
#66,Josh Hamilton,$24.1 M,$24 M,$100 K,Baseball,2017
#67,Zack Greinke,$24.1 M,$24 M,$50 K,Baseball,2017
#68,Harrison Barnes,$23.9 M,$22.4 M,$1.5 M,Basketball,2017
#69,Joe Mauer,$23.8 M,$23 M,$800 K,Baseball,2017
#70,Wayne Rooney,$23.6 M,$17.6 M,$6 M,Soccer,2017
#71,Bradley Beal,$23.3 M,$22.1 M,$1.2 M,Basketball,2017
#71,Luis Suarez,$23.3 M,$17.3 M,$6 M,Soccer,2017
#73,Matt Kalil,$23.2 M,$23.1 M,$75 K,Football,2017
#74,Andre Drummond,$23.1 M,$22.1 M,$1 M,Basketball,2017
#75,Masahiro Tanaka,$23 M,$22 M,$1 M,Baseball,2017
#76,Chandler Jones,$22.9 M,$22.8 M,$100 K,Football,2017
#76,Chandler Parsons,$22.9 M,$22.1 M,$750 K,Basketball,2017
#78,Cole Hamels,$22.7 M,$22.5 M,$200 K,Baseball,2017
#78,Hassan Whiteside,$22.7 M,$22.2 M,$500 K,Basketball,2017
#80,Sergio Agüero,$22.6 M,$14.6 M,$8 M,Soccer,2017
#81,Muhammad Wilkerson,$22.4 M,$22 M,$400 K,Football,2017
#82,Nick Perry,$22.3 M,$22.2 M,$100 K,Football,2017
#82,Hanley Ramirez,$22.3 M,$22 M,$300 K,Baseball,2017
#82,Justin Upton,$22.3 M,$22.1 M,$200 K,Baseball,2017
#85,Marc Gasol,$22.2 M,$21.2 M,$1 M,Basketball,2017
#85,DeAndre Jordan,$22.2 M,$21.2 M,$1 M,Basketball,2017
#87,LaMarcus Aldridge,$22.1 M,$20.6 M,$1.5 M,Basketball,2017
#87,Jose Reyes,$22.1 M,$22 M,$100 K,Baseball,2017
#89,Anthony Joshua,$22 M,$18.5 M,$3.5 M,Boxing,2017
#89,Virat Kohli,$22 M,$3 M,$19 M,Cricket,2017
#91,James Rodriguez,$21.9 M,$14.9 M,$7 M,Soccer,2017
#91,Klay Thompson,$21.9 M,$16.9 M,$5 M,Basketball,2017
#93,Jimmie Johnson,$21.8 M,$16.8 M,$5 M,Auto Racing,2017
#94,Jacoby Ellsbury,$21.7 M,$21.1 M,$600 K,Baseball,2017
#94,Adrian Gonzalez,$21.7 M,$21.3 M,$400 K,Baseball,2017
#94,Matt Kemp,$21.7 M,$21.5 M,$200 K,Baseball,2017
#94,Brook Lopez,$21.7 M,$21.2 M,$500 K,Basketball,2017
#98,Nicolas Batum,$21.41 M,$20.9 M,$600 K,Basketball,2017
#98,Wladimir Klitschko,$21.5 M,$17.5 M,$4 M,Boxing,2017
#100,Dale Earnhardt Jr.,$21.4 M,$13.4 M,$8 M,Auto Racing,2017
#1,Cristiano Ronaldo,$88 M,$56 M,$32 M,Soccer,2016
#2,Lionel Messi,$81.4 M,$53.4 M,$28 M,Soccer,2016
#3,LeBron James,$77.2 M,$23.2 M,$54 M,Basketball,2016
#4,Roger Federer,$67.8 M,$7.8 M,$60 M,Tennis,2016
#5,Kevin Durant,$56.2 M,$20.2 M,$36 M,Basketball,2016
#6,Novak Djokovic,$55.8 M,$21.8 M,$34 M,Tennis,2016
#7,Cam Newton,$53.1 M,$41.1 M,$12 M,Football,2016
#8,Phil Mickelson,$52.9 M,$2.9 M,$50 M,Golf,2016
#9,Jordan Spieth,$52.8 M,$20.8 M,$32 M,Golf,2016
#10,Kobe Bryant,$50 M,$25 M,$25 M,Basketball,2016
#11,Lewis Hamilton,$46 M,$42 M,$4 M,Racing,2016
#12,Tiger Woods,$45.3 M,$274 K,$45 M,Golf,2016
#13,Eli Manning,$45 M,$37 M,$8 M,Football,2016
#14,Joe Flacco,$44.5 M,$44 M,$500 K,Football,2016
#15,Tom Brady,$44.1 M,$36.1 M,$8 M,Football,2016
#16,Floyd Mayweather,$44 M,$32 M,$12 M,Boxing,2016
#17,Rory McIlroy,$50 M,$16 M,$34 M,Golf,2016
#18,Russell Wilson,$41.8 M,$31.8 M,$10 M,Football,2016
#19,Sebastian Vettel,$38.5 M,$38 M,$500 K,Auto Racing,2016
#20,Philip Rivers,$38 M,$37.5 M,$450 K,Football,2016
#21,Rafael Nadal,$37.5 M,$5.5 M,$32 M,Tennis,2016
#21,Neymar,$37.5 M,$14.5 M,$23 M,Soccer,2016
#23,Zlatan Ibrahimovic,$37.4 M,$30.4 M,$7 M,Soccer,2016
#24,Fernando Alonso,$36.5 M,$35 M,$1.5 M,Racing,2016
#25,Gareth Bale,$35.9 M,$24.9 M,$11 M,Soccer,2016
#26,Marcell Dareus,$35.2 M,$35.1 M,$100 K,Football,2016
#27,Peyton Manning,$34.2 M,$19.2 M,$15 M,Football,2016
#28,Derrick Rose,$34.1 M,$20.1 M,$14 M,Basketball,2016
#29,Kei Nishikori,$33.5 M,$3.5 M,$30 M,Tennis,2016
#30,A.J. Green,$33.3 M,$32.8 M,$500 K,Football,2016
#31,James Harden,$32.8 M,$15.8 M,$17 M,Basketball,2016
#32,Usain Bolt,$32.5 M,$2.5 M,$30 M,Track,2016
#33,Clayton Kershaw,$32 M,$31.2 M,$800 K,Baseball,2016
#33,Dwyane Wade,$32 M,$20 M,$12 M,Basketball,2016
#35,Drew Brees,$31 M,$19 M,$12 M,Football,2016
#36,Carmelo Anthony,$30.9 M,$22.9 M,$8 M,Basketball,2016
#37,Chris Paul,$30 M,$21.5 M,$8.5 M,Basketball,2016
#38,Cliff Lee,$29.3 M,$29.2 M,$100 K,Baseball,2016
#39,Olivier Vernon,$29 M,$28.8 M,$200 K,Football,2016
#40,Serena Williams,$28.9 M,$8.9 M,$20 M,Tennis,2016
#41,Justin Verlander,$28.6 M,$28 M,$600 K,Baseball,2016
#42,Kyrie Irving,$27.6 M,$16.6 M,$11 M,Basketball,2016
#43,Julio Jones,$27.2 M,$26 M,$1.2 M,Football,2016
#44,Luke Kuechly,$27.1 M,$26.1 M,$1 M,Football,2016
#45,Robinson Cano,$27 M,$24 M,$3 M,Baseball,2016
#46,Dwight Howard,$26.9 M,$22.4 M,$4.5 M,Basketball,2016
#47,Miguel Cabrera,$26.6 M,$24.1 M,$2.5 M,Baseball,2016
#48,Albert Pujols,$26.3 M,$24.3 M,$2 M,Baseball,2016
#49,Blake Griffin,$26.1 M,$18.1 M,$8 M,Basketball,2016
#49,Wayne Rooney,$26.1 M,$20.1 M,$6 M,Soccer,2016
#51,Cameron Jordan,$25.9 M,$25.8 M,$100 K,Football,2016
#52,Russell Westbrook,$25.7 M,$16.7 M,$9 M,Basketball,2016
#53,Ryan Howard,$25.6 M,$25 M,$600 K,Baseball,2016
#53,Trent Williams,$25.6 M,$25.5 M,$75 K,Football,2016
#55,Chris Bosh,$25.2 M,$22.2 M,$3 M,Basketball,2016
#56,Felix Hernandez,$24.9 M,$24.4 M,$500 K,Baseball,2016
#57,Zack Greinke,$24.7 M,$24.7 M,$50 K,Baseball,2016
#58,Prince Fielder,$24.2 M,$24 M,$200 K,Baseball,2016
#59,CC Sabathia,$24.4 M,$23.7 M,$700 K,Baseball,2016
#60,Sergio Agüero,$24.3 M,$16.8 M,$7.5 M,Soccer,2016
#60,Sam Bradford,$24.3 M,$24 M,$300 K,Football,2016
#62,Paul George,$24.1 M,$17.1 M,$7 M,Basketball,2016
#63,Manny Pacquiao,$24 M,$21.5 M,$2.5 M,Boxing,2016
#64,Kevin Love,$23.9 M,$19.9 M,$4 M,Basketball,2016
#65,Yoenis Cespedes,$23.8 M,$23.2 M,$600 K,Baseball,2016
#65,Joe Mauer,$23.8 M,$23 M,$800 K,Baseball,2016
#65,David Price,$23.8 M,$23.3 M,$500 K,Baseball,2016
#65,Luis Suarez,$23.8 M,$17.8 M,$6 M,Soccer,2016
#69,Stephen Curry,$23.6 M,$11.6 M,$12 M,Basketball,2016
#69,Jason Day,$23.6 M,$15.1 M,$8.5 M,Golf,2016
#71,Dez Bryant,$23.5 M,$23 M,$500 K,Football,2016
#71,Dale Earnhardt Jr.,$23.5 M,$15 M,$8.5 M,Racing,2016
