编号,书名,出版社,现价,原价,评论数,推荐指数
489,小熊宝宝绘本(2018版全15册)蒲蒲兰经典畅销绘本！新手妈妈的育儿宝典，销量超千万册！(0-3岁),连环画出版社,62.4,96,730278条评论,100%推荐
490,我爸爸,河北教育出版社,22.2,35.8,184613条评论,99.9%推荐
491,中国古代文化常识(插图修订第4版),北京联合出版公司,56.9,60,67062条评论,99.9%推荐
492,十几岁孩子的正面管教――教给十几岁的孩子人生技能(畅销书《正面管教》作者力作，养育青春期孩子的“黄金准则”),北京联合出版公司,17.5,35,100748条评论,100%推荐
493,信谊世界精选图画书逃家小兔,明天出版社,23.23,26.8,193933条评论,99.9%推荐
494,默读(Priest作品),百花洲文艺出版社,31,45,44215条评论,100%推荐
495,做内心强大的自己――歪歪兔逆商教育系列图画书(挫折教育绘本全10册),海豚出版社,40,80,221653条评论,99.6%推荐
496,大林和小林(新课标全本，荣获豆瓣8.9高评分的经典童话，被誉为中国儿童文学第二座里程碑),浙江工商大学出版社,11.7,18,52906条评论,100%推荐
497,知行合一王阳明大全集(1+2+3+传习录，套装共4册),北京时代华文书局,113.8,144,102526条评论,99.9%推荐
498,细菌世界历险记(中小学语文新课标必读名著 )菌儿自传 高士其科普童话 100000多名读者热评！,人民邮电出版社,16.5,22.8,102832条评论,100%推荐
499,绿野仙踪(新课标原版插图本，著名儿童文学翻译家张炽恒倾情翻译，非改写&非编译),北京联合出版公司,13.8,20,77080条评论,99.9%推荐
500,湘行散记(七年级上册自主阅读推荐),江苏人民出版社,19.1,25,82572条评论,99.9%推荐
