Indicator Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
65岁和65岁以上的人口（占总人口的百分比）,4.55155677,4.674332986,4.825305937,4.966104023,5.096237737,5.211865297,5.309938539,5.391277383,5.451653045,5.501441168,5.557041477,5.630162221,5.693591469,5.787342361,5.900460919,6.015432036,6.124304325,6.293066059,6.430585931,6.551032096,6.675355358,6.811852767,6.939788413,7.082209214,7.230886596,7.366721673,7.482470721,7.605610008,7.712841635,7.815723851,7.932236318,8.074453236,8.259153941,8.45330833,8.678981377,8.966397405,9.331830172,9.802631139,10.34512046,10.92088354,
65岁和65岁以上的人口总数,44104813,45866191,47957992,50089615,52150310,54037922,55809578,57513608,59097827,60605526,62163844,63912757,65520712,67420802,69533392,71694024,73788987,76621226,79101030,81359560,83624513,86009518,88263699,90680607,93162743,95478238,97550467,99711068,101646383,103531377,105598689,108012365,111013766,114178413,117806757,122325870,127959922,135145445,143424233,152098421,
65岁和65岁以上的人口总数，女性,24640409,25501375,26503746,27524201,28510057,29416419,30278991,31081692,31837835,32558737,33297054,34119349,34877446,35789800,36820086,37891906,38950912,40377321,41645152,42815509,43998031,45246223,46306700,47460014,48658707,49789814,50818905,51905862,52906105,53911639,55048919,56405551,58084237,59902017,61996853,64565697,67710850,71540843,75955736,80601282,
超重的发生率（占5岁以下儿童的百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超重率，男性（占5岁以下儿童中百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超重率，女性（占5岁以下儿童中百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
城镇人口,180399661,189947471,199949784,210823843,220472140,230206255,240414890,251325056,262976051,275121076,287504237,300165618,314301034,328521540,342961393,357836540,373035157,388593258,404485562,420606126,436766058,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841,616481190,637407288,658498663,678933504,699187267,719587859,740239259,761027100,782199374,803554542,823827650,
城镇人口（占总人口比例）,18.617,19.358,20.118,20.902,21.545,22.203,22.874,23.559,24.259,24.974,25.701,26.442,27.312,28.2,29.103,30.024,30.961,31.916,32.883,33.867,34.865,35.877,37.093,38.425,39.776,41.144,42.522,43.868,45.199,46.539,47.88,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96,59.152,
城镇人口增长率（年增长率）,5.261370931,5.157283705,5.131868951,5.295666246,4.474842022,4.320433025,4.339047124,4.438100593,4.531582208,4.514830994,4.402632038,4.309678481,4.601685132,4.42511729,4.301547743,4.245840597,4.159637994,4.086051744,4.008285508,3.908078566,3.77008873,3.649252711,4.059565758,4.198001148,4.078403526,3.97537213,3.882472976,3.674728093,3.511255552,3.433957689,3.338102468,3.255365494,3.05606997,2.939542285,2.87600167,2.829482685,2.769551135,2.744069375,2.693540138,2.491628201,
出生人口性别比（每1000名男性的女性）,,,,1.07,,,,,1.08,,,1.104,,1.12,,,,,1.14,,,,,1.16,,,,,1.17,1.166,1.162,1.158,1.154,1.15,1.146,1.142,1.138,1.134,1.13,,
出生时的预期寿命，男性（岁）,64.982,65.426,65.823,66.175,66.486,66.761,66.995,67.178,67.306,67.384,67.425,67.446,67.468,67.511,67.592,67.724,67.916,68.173,68.483,68.831,69.207,69.595,69.981,70.351,70.697,71.013,71.297,71.551,71.788,72.017,72.244,72.476,72.72,72.976,73.242,73.517,73.793,74.061,74.315,,
出生时的预期寿命，女性（岁）,67.804,68.299,68.742,69.132,69.471,69.766,70.023,70.248,70.45,70.637,70.819,71.004,71.2,71.407,71.626,71.858,72.103,72.358,72.617,72.878,73.141,73.405,73.674,73.951,74.237,74.535,74.845,75.17,75.508,75.855,76.208,76.566,76.926,77.284,77.635,77.972,78.288,78.574,78.828,,
出生时的预期寿命，总体（岁）,66.377,66.844,67.26,67.627,67.949,68.231,68.473,68.673,68.831,68.954,69.054,69.145,69.242,69.355,69.496,69.67,69.885,70.14,70.428,70.737,71.063,71.397,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,,
初等教育，教师,5226000,5381800,5499400,5580100,5504600,5424600,5369600,5376800,5413600,5433800,5501300,5543800,5581810,5532300,5526500,5551600,5611324,5664057,5735790,5793561,,,5860316,,5778853,,,5967878,6073666,6035510,6018780,5997393,5939088,5907896,5866510,5859672,5889014,5933119,6045682,6201651,
初等教育，教师 （女性所占百分比）,37.83007813,36.59185028,37.07859039,36.32550812,36.28237915,37.00548935,38.98986816,39.5755806,40.376091,40.95291901,41.52473068,42.57188034,43.15446091,43.79190826,44.48566055,45.15634918,45.7971611,46.61040878,47.40134811,48.283741,,,50.63297,,52.90984,,,55.17626,55.54115,56.11092,56.7585,57.55411,58.3616,58.99434,59.87718,60.97638,62.59739,63.99851,65.62148,67.39675,
初等教育，小学生,146240000,146629408,146270000,143328000,139720400,135780400,135571200,133701800,131825000,128358496,125357800,123731000,122413800,121641504,122012800,124212400,128226232,131951480,136150048,139953696,,,130132548,,,,,108925227,107394752,105950505,103617063,101000000,99700000,99500000,97200000,93900000,94800000,97200000,99500000,101000000,
初等教育，小学生（女生所占百分比）,44.92887878,44.85731125,44.55733109,43.96350098,43.65776062,43.72663879,43.79779816,44.7729187,45.13536835,45.35546875,45.59413147,45.88130951,46.20001984,46.48611069,46.59838867,46.82221985,47.06758881,47.29827118,47.4991684,47.62997818,,,47.60193,,,,,46.7876,46.63158,46.46546,46.35395,46.23675,46.18944,46.19911,46.33465,46.33884,46.31926,46.33798,46.42197,46.47985,
初等教育年限（年）,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
粗出生率（每千人）,17.82,18.21,20.91,22.28,20.19,19.9,21.04,22.43,23.33,22.37,21.58,21.06,19.68,18.27,18.09,17.7,17.12,16.98,16.57,15.64,14.64,14.03,13.38,12.86,12.41,12.29,12.4,12.09,12.1,12.14,12.13,11.9,11.93,12.1,12.08,12.37,12.07,12.95,12.43,,
粗死亡率（每千人）,6.21,6.34,6.36,6.6,6.9,6.82,6.78,6.86,6.72,6.64,6.54,6.67,6.7,6.64,6.64,6.49,6.57,6.56,6.51,6.5,6.46,6.45,6.43,6.41,6.4,6.42,6.51,6.81,6.93,7.06,7.08,7.11,7.14,7.15,7.16,7.16,7.11,7.09,7.11,,
存活至65岁的男性（占同层人群比例）,67.0607588,67.7543682,68.4479776,69.141587,69.6195732,70.0975594,70.5755456,71.0535318,71.531518,71.5438762,71.5562344,71.5685926,71.5809508,71.593309,72.0112156,72.4291222,72.8470288,73.2649354,73.682842,74.418796,75.15475,75.890704,76.626658,77.362612,77.7312312,78.0998504,78.4684696,78.8370888,79.205708,79.5382404,79.8707728,80.2033052,80.5358376,80.86837,81.3018128,81.7352556,82.1686984,82.6021412,83.035584,,
存活至65岁的女性（占同层人群比例）,72.8803204,73.6148136,74.3493068,75.0838,75.5313082,75.9788164,76.4263246,76.8738328,77.321341,77.5804754,77.8396098,78.0987442,78.3578786,78.617013,78.9832248,79.3494366,79.7156484,80.0818602,80.448072,80.8674596,81.2868472,81.7062348,82.1256224,82.54501,83.005911,83.466812,83.927713,84.388614,84.849515,85.3211408,85.7927666,86.2643924,86.7360182,87.207644,87.5392486,87.8708532,88.2024578,88.5340624,88.865667,,
存款利率 (百分比),,5.4,5.4,5.76,5.76,5.759999999,7.2,7.2,7.2,8.64,11.34,8.64,7.56,7.56,10.98,10.98,10.98,7.47,5.67,3.78,2.25,2.25,2.25,1.98,1.98,2.25,2.25,2.52,4.14,2.25,2.25,2.75,3.5,3,3,2.75,1.5,1.5,1.5,1.5,
大学生人均支出（占人均 GDP 的百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
低出生重量婴儿（占出生儿的百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肺结核病例检出率（百分比，所有形式）,,,,,,,,,,,,,,,,,,,,,,33,35,35,48,64,74,80,85,87,87,87,87,87,87,87,87,87,87,,
肺结核治疗成功率（占登记病例比例）,,,,,,,,,,,,,,,,,,,,,,93,95,92,93,92,92,92,93,93,94,95,95,95,95,94,94,93,,,
服务业就业人员（占就业总数的百分比）,,,,,,,,,,,,,18.70700073,19.53700066,20.74099922,22.00099945,23.23800087,24.30699921,24.8939991,25.23399925,25.3560009,25.68000031,25.9659996,26.25099945,26.98900032,28.41200066,29.79199982,31.25099945,32.5890007,33.52500153,34.71099854,35.75699997,37.05199814,38.07699966,39.73300171,41.14400101,42.25299835,43.15999985,44.04100037,44.61100006,45.17100143
服务业男性就业人员（占男性就业的百分比）,,,,,,,,,,,,,18.67099953,19.43099976,20.57799911,21.7840004,22.96999931,23.97900009,24.48699951,24.73999977,24.77099991,25.00699997,25.20599937,25.39999962,26.0529995,27.40299988,28.70800018,30.09000015,31.33699989,32.18600082,33.28099823,34.24399948,35.4659996,36.39899826,37.97499847,39.31499863,40.31000137,41.125,41.89599991,42.35200119,42.80099869
服务业女性就业人员（占女性就业的百分比）,,,,,,,,,,,,,18.75099945,19.66500092,20.93700027,22.26399994,23.56299973,24.70400047,25.38699913,25.83099937,26.06299973,26.49300003,26.88699913,27.2840004,28.12899971,29.64599991,31.12400055,32.68299866,34.14199829,35.19200134,36.50099945,37.65999985,39.04899979,40.19100189,41.95100021,43.45600128,44.7140007,45.74100113,46.77099991,47.4980011,48.2140007
抚养比（占劳动年龄人口的百分比）,70.84480377,68.3780984,65.60204417,63.01466995,60.5791802,58.33106573,56.36281386,55.10570937,54.1158497,53.36412,52.71024884,52.02161163,52.08325862,51.50091727,50.63292878,49.94269591,49.60311031,48.39245227,48.00124094,47.90764398,47.39668968,46.20005635,45.25234082,43.59933981,41.60623466,39.84282606,38.57309665,37.60158774,37.01376633,36.74351372,36.60133718,36.48972288,36.55419199,36.65490765,36.83460387,37.1756399,37.71385735,38.4988746,39.43594557,40.44526875,
高等教育，教师 （女性所占百分比）,25.39974976,26.22171974,,,,,,,31.85449028,,,,,,,30.19425964,,,,,,,45.37299,45.37291,44.39897,43.57642,42.51567,41.61074,42.50775,43.14436,44.41989,44.65954,45.12578,,,,,,,,
高等学院女生与男生的入学比例 (%),0.336140007,0.335960001,,,,,,,,,,,,,,0.527670026,,,,,,,,,0.82656,0.88518,0.90315,0.94418,0.97778,1.01626,1.03799,1.06224,1.08883,1.10766,1.13296,1.16034,1.1852,1.2038,1.20716,1.2167,
工业就业人员（占就业总数的百分比）,,,,,,,,,,,,,21.59300041,21.96299934,22.85899925,23.6989994,24.56200027,25.19300079,25.20599937,24.9659996,24.54400063,24.30999947,24.02400017,23.73900032,23.9109993,24.68799973,25.40800095,26.14900017,26.61100006,26.875,27.18899918,27.54299927,28.14800072,28.32299995,28.86700058,29.3560009,29.15500069,29.13999939,28.97900009,28.62000084,28.2689991
工业男性就业人员（占男性就业的百分比）,,,,,,,,,,,,,19.17900085,19.60700035,20.54199982,21.4109993,22.30900002,22.99300003,23.08300018,22.93099976,22.59799957,22.4489994,22.25099945,22.05999947,22.3220005,23.18099976,23.99200058,24.83399963,25.41699982,25.79400063,26.24200058,26.71299934,27.43700027,27.73999977,28.44099998,29.07099915,29.02799988,29.13999939,29.12700081,28.89599991,28.67000008
工业女性就业人员（占女性就业的百分比）,,,,,,,,,,,,,24.50900078,24.81100082,25.66200066,26.46699905,27.28800011,27.85499954,27.77599907,27.43099976,26.89999962,26.56200027,26.17499924,25.78100014,25.84700012,26.53199959,27.14800072,27.77400017,28.0909996,28.22200012,28.37299919,28.58699989,29.04400063,29.05800056,29.40500069,29.7159996,29.31599998,29.14100075,28.79100037,28.2670002,27.75399971
护士和助产士（每千人）,,,,,,,,,,,,0.8269,,,,,0.9031,0.9252,0.9466,0.9565,0.9707,0.9818,1.083,0.9546,0.9637,0.9903,1.0155,1.0672,1.1597,1.2413,1.3643,1.4979,1.6319,1.8054,2.0015,2.1491,2.3073,,,,
教育公共开支总额，总数（占GDP的比例）,2.14805007,1.911900043,1.948809981,2.034480095,2.076920033,1.998630047,2.008140087,2.061549902,1.804250002,1.764179945,,,,1.65455997,1.657850027,1.985710025,1.841920018,1.853389978,,1.844329953,1.888039947,,,,,,,,,,,,,,,,,,,,
经过培训的初等教育教师（占教师总数的比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经过培训的男性初等教育教师（占男性教师总数比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经过培训的女性初等教育教师（占女性教师总数比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性失业人数（占男性劳动力比例）（模拟劳工组织估计）,,,,,,,,,,,,,2.65899992,2.65899992,2.990999937,3.211999893,3.322999954,3.434000015,3.54399991,3.54399991,3.654999971,3.654999971,4.208000183,4.650000095,5.092000008,4.980000019,4.979000092,4.867000103,4.755000114,5.085000038,5.193999767,4.972000122,4.972000122,5.081999779,5.080999851,5.080999851,5.079999924,4.968999863,4.857999802,4.877999783,4.892000198
男性吸烟率（吸烟男性占所有成年人比例）,,,,,,,,,,,,,,,,,,,,,,56,,,,,53.3,,,,,50.9,50.1,50.1,49.6,49.2,48.7,48.4,,,
内科医生（每千人）,1.12,,1.25,1.3,1.32,1.33,,1.35,1.37,1.47,1.54,1.1056,1.55,1.55,1.55,1.58,1.1672,1.174,1.1892,1.1881,1.2177,1.2426,1.055,1.1208,,,,,,,1.4015,1.4627,1.4733,1.5467,1.6438,1.6989,1.7855,,,,
年轻男性失业人数（占15-24岁男性劳动力比例）,,,,,,,,,,,,,5.027999878,5.092000008,5.809999943,6.330999851,6.643000126,6.959000111,7.282999992,7.375999928,7.683000088,7.734000206,8.946000099,9.902000427,10.84000015,10.59599972,10.59399986,10.35999966,10.12699986,10.85000038,11.13300037,10.74300003,10.85299969,11.2489996,11.43000031,11.60700035,11.75800037,11.62800026,11.4630003,11.57699966,11.63500023
年轻女性失业人数（占15-24岁女性劳动力比例）,,,,,,,,,,,,,3.83100009,3.898999929,4.46999979,4.894999981,5.157999992,5.425000191,5.697999954,5.789000034,6.046999931,6.100999832,7.066999912,7.829999924,8.579999924,8.397000313,8.409999847,8.241000175,8.074000359,8.670999527,8.920999527,8.633999825,8.748000145,9.088000298,9.258999825,9.423000336,9.56499958,9.475000381,9.343000412,9.401000023,9.449000359
年轻群体总失业人数（占15-24岁所有劳动力数量的比例）,,,,,,,,,,,,,4.43900013,4.506000042,5.15500021,5.631000042,5.921000004,6.215000153,6.515999794,6.609000206,6.893000126,6.947000027,8.041999817,8.909000397,9.76099968,9.550999641,9.562000275,9.36400032,9.168999672,9.840000153,10.11400032,9.777999878,9.894000053,10.26599979,10.44299984,10.61499977,10.76399994,10.65299988,10.50199986,10.5909996,10.64599991
农村出生登记完整性（百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农村人口,788605339,791287529,793935216,797806157,802837860,806618745,810625110,815464944,821058949,826508924,831145763,835019382,836478966,836448460,835478607,833998460,831819843,828956742,825589438,821328874,815968942,809645853,800082679,788406300,775926016,762817902,749352182,735901746,722214159,708173810,693852712,679206337,665196496,651507733,637792141,624030741,610192900,596465626,582840458,568902350,
农村人口 （占总人口的百分比）,81.383,80.642,79.882,79.098,78.455,77.797,77.126,76.441,75.741,75.026,74.299,73.558,72.688,71.8,70.897,69.976,69.039,68.084,67.117,66.133,65.135,64.123,62.907,61.575,60.224,58.856,57.478,56.132,54.801,53.461,52.12,50.774,49.489,48.235,46.987,45.741,44.5,43.264,42.04,40.848,
农村人口增长（年增长率）,0.456766888,0.33954107,0.334046363,0.486379094,0.628711884,0.469834594,0.495456908,0.595274324,0.683647432,0.66158062,0.559447167,0.464975035,0.174643831,-0.00364702,-0.116016198,-0.177318685,-0.261567332,-0.344790969,-0.407037131,-0.517399494,-0.654731362,-0.777935943,-1.188186246,-1.470150496,-1.595639068,-1.703783318,-1.781026631,-1.811246341,-1.877489851,-1.963215611,-2.042985048,-2.133474239,-2.084248533,-2.079321369,-2.127683357,-2.181280088,-2.242449489,-2.275352296,-2.310812177,-2.420468943,
人口，女性（占总人口的百分比）,48.67885261,48.67916236,48.68122046,48.68477078,48.68891579,48.6924245,48.69448277,48.69484458,48.69390444,48.69227159,48.69077699,48.68996106,48.68980919,48.69005708,48.69064792,48.69147285,48.69237433,48.69354943,48.69483522,48.69531087,48.69378629,48.6895228,48.68231264,48.67269017,48.66160793,48.65038593,48.64006378,48.63087189,48.62283673,48.61652628,48.61254544,48.61129678,48.6130618,48.6177331,48.62481668,48.63358264,48.64348716,48.6543796,48.66634818,48.67937396,
人口，总数,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,
人口增长（年度百分比）,1.333927954,1.254221052,1.280952344,1.47267476,1.444949695,1.312068761,1.361699118,1.487398929,1.603605087,1.610071086,1.533169996,1.467303211,1.364434008,1.225536228,1.149619431,1.130260632,1.086509151,1.048141514,1.023450024,0.959550406,0.865851393,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.479150454,0.487231118,0.493709634,0.506311592,0.508136747,0.541478512,0.559121331,0.455899679,
人口总数，女性,471700516,477656979,483835348,491049203,498238544,504855230,511798492,519471732,527858967,536408672,544679377,552721134,560312586,567224558,573790071,580322015,586672507,592868311,598982994,604764109,610004104,614775825,619165993,623205125,626956157,630545489,634130240,637560457,640793072,644001246,647159372,650275748,653422748,656677290,660023537,663493378,667009225,670780903,674707818,677972245,
入学率，高等院校（占总人数的百分比）,0.966149986,1.130329967,1.781780005,,,2.018429995,2.43659997,2.972229958,3.112570047,3.082060099,2.991960049,2.972559929,2.891459942,2.805660009,2.889689922,3.611409903,4.390140057,4.91531992,5.350110054,5.863930225,6.394279957,7.59041,9.78911,12.62848,15.45268,17.69126,19.087,20.21919,20.52122,20.68412,22.44306,24.19849,25.64785,28.72567,32.43367,42.43073,46.04043,48.01902,49.07326,50.60444,
入学率，高等院校，男生（占总人数的百分比）,1.426210046,1.668519974,,,,,,,,,,,,,,4.687489986,,,,,,,,,16.87404,18.73577,20.02829,20.78171,20.74453,20.52263,22.03863,23.49371,24.59831,27.31908,30.50321,39.43411,42.33761,43.81256,44.71566,45.92842,
入学率，高等院校，女生（占总人数的百分比）,0.479409993,0.560559988,,,,,,,,,,,,,,2.473449945,,,,,,,,,13.94749,16.58445,18.08854,19.62175,20.28364,20.85634,22.87581,24.95607,26.78327,30.26018,34.55895,45.75697,50.17866,52.7417,53.97915,55.88122,
入学率，小学（净百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入学率，小学，男生（净百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入学率，小学，男生（占总数的百分比）,117.7822495,118.2839127,120.2450333,120.8115311,121.2953568,121.9034805,127.2799683,130.2444763,134.3802948,135.9200745,135.7327881,134.0574493,129.9652252,126.491478,122.7149506,118.6000137,114.710701,110.3499298,107.2195587,107.0744171,,,112.80651,,,,,101.37534,101.26806,101.47706,100.78334,99.77054,99.75012,100.3084,99.67513,95.7645,96.20934,97.7319,98.97126,99.69995,
入学率，小学，女生（净百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入学率，小学，女生（占总数的百分比）,100.3278275,100.7516022,101.6263733,100.1294479,99.63011169,100.6260529,105.4429016,112.1760406,117.4104614,119.7948608,120.7677536,120.6399612,118.4450531,116.6632233,113.7686234,111.0568314,108.6255493,105.646492,103.6768494,104.3706818,,,111.83423,,,,,100.56225,100.07257,99.90914,99.12141,98.04289,98.24032,99.19531,99.43689,95.83343,96.44554,98.22966,99.90993,100.8316,
入学率，小学，私立（占总小学人数的百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57077,3.83716,4.23586,4.63632,4.97806,5.39201,5.70447,6.04681,6.60941,7.02539,7.26986,7.53909,7.99203,
入学率，中学（净百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入学率，中学（占总人数的百分比）,49.88985062,43.23553085,38.99174881,33.14825821,30.2906208,29.72543907,31.0157795,32.632061,34.71899033,36.24217987,36.47568893,36.7201004,38.98485184,42.09880066,44.97417831,46.59412003,50.35079956,54.85623932,57.4666214,,60.46417999,60.2599,60.08422,60.2845,62.14113,,,71.32845,76.78766,81.71284,85.45141,88.1734,,,,,,,,,
入学率，中学，男生（净百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
入学率，中学，男生（占总人数的百分比）,57.00542831,50.08724976,46.22465134,39.63782883,36.09064865,35.24438858,36.41830826,38.34206009,40.04066849,41.639431,41.67744827,42.09648132,44.34420013,47.29293823,50.13650131,50.76776123,54.22171021,58.42520905,61.03506088,,,,62.04706,,63.90282,,,71.65891,76.80814,81.21425,84.41122,88.31697,,,,,,,,,
入学率，中学，女生（净百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
